,word,sentence,pos_tag,counts
0,covid,alright guy want make trip pact cuz iatmm summer covid vaccin safe peopl arenatmt suffer bell palsi side effect,NN,1
1,covid,amoderna expect covid vaccin protect uk coronaviru variant reutersa,NN,1
2,covid,ano covid relat death covid case requir medic intervent occur day postvaccin among particip age year older medic comorbid vaccin groupa,NN,1
3,covid,ano covid relat death covid case requir medic intervent occur day postvaccin among particip age year older medic comorbid vaccin groupa,NNP,1
4,covid,ask answer check updat north carolina covid vaccin faq,NNP,1
5,covid,az scheint gut zu wirken afirst dose bntb vaccin associ vaccin effect covid relat hospitalis day postvaccin vaccin effect time interv chadox vaccin,NNP,1
6,covid,b poll plan receiv type covid vaccin covidvaccin,NN,1
7,covid,babi vaccin new studi suggest pfizer covid vaccin work mom,NN,1
8,covid,bell palsi convent medicin say caus unknown go away time there grow evid caus vaccin especi flu covid pharmaceut industri seem interest investig wonder bellspalsi,NN,1
9,covid,bobwacht peter mark explain chang dose vaccin regimen dose immun respons could dwindl faster know happen know alreadi peopl get mild covid tend lose immun respons pretti quickli min mark,NN,1
10,covid,brazilian health regul anvisa said chines health author transpar experiment covid vaccin,NN,1
11,covid,british medic journal editori covid vaccin efficaci vaccin studi determin whether interrupt transmiss viru,NNP,1
12,covid,californiaatm state epidemiologist urg covid vaccin provid paus distribut one moderna vaccin lot investig ahigh usuala number allerg reaction,NNP,1
13,covid,censor doctor genet modifi u covid vaccin,NNP,1
14,covid,citynew unaccept understand need certain vaccin rush thoroughli test version forc anyon threat repercuss know side effect vaccin could bad wors covid,VB,1
15,covid,cjsienna lynnbrittney trusttruth lindsaypuppyd covid singl vaccin dose lead greater risk new coronaviru variant south african expert warn variant thought respons infect south africa alreadi found uk,NNP,1
16,covid,coronavaccin govt want peopl trust vaccin efficaci shekhargupta jhasanjay hundr die covid infect includ gujarat talli report,NN,1
17,covid,covid singl vaccin dose lead greater risk new coronaviru variant south african expert warn skynew,NN,1
18,covid,covid vaccin alon end pandem take question expert wftv tonight kraywftva vecholswftva meganwftv,NN,1
19,covid,covid vaccin bring infect show israela studi,NN,1
20,covid,covid vaccin commun handbook aim fight misinform demonstr vaccin safe effect put togeth renown team scientif expert rang disciplin here thread may interest cddftnh colleagu,NN,1
21,covid,covid vaccin fake donatmt take,NN,1
22,covid,covid vaccin like benefici breastf babi question remain via kpbsnew,NN,1
23,covid,covid vaccin protect viru outweigh potenti allergi risk expert say cbc,NN,1
24,covid,covid vaccin safeti efficaci import brand adoctor,NN,1
25,covid,covid vaccin whatatm evid extend dose interv bmj grate interpret read oxford vaccin better efficaci dose wk pfizer dose must le week correct,NN,1
26,covid,covid vaccinesatm trial done long period enough pa efficaci safeti protocol normal appli vaccin commun leader need provid accur inform constitu scientist pleas help,NN,1
27,covid,covidlong longcovid anaphylaxi troublesom year problem ade cv vaccin covid vaccin design elicit neutral antibodi may sensit vaccin recipi sever diseas vaccin,NN,1
28,covid,cp implor everyon read look well known safe altern vaccin call ivermectin sever case studi around world shown recoveri rate ill covid ivermectin also work prevent,NN,1
29,covid,dad demand answer health worker daughter die two day covid vaccin,NN,1
30,covid,data pertain trial made public expert covid vaccin choic,NN,1
31,covid,davek mention earlier tweet learn covid vaccin adapt evolv franc st countri give do vaccin person alreadi covid one inject booster,NN,2
32,covid,death associ new covid vaccin misinform time honesti pharmaceut medic establishmenthttpstcobjyveha,NNP,1
33,covid,decemb unit state seen six case anaphylaxi among peopl receiv covid vaccin accord recent present thoma clark u center diseas control prevent cdc unit kingdom record two,NNP,1
34,covid,differ efficaci data chines covid vaccin real validmedia yahoo news,NNP,1
35,covid,dr anthoni fauci top infecti diseas specialist unit state say pfizerbiontech moderna vaccin effect could crush covid pandem spoke white coat black art host dr brian goldman,NNP,1
36,covid,dr kevin covid vaccin anoth strain coronaviru influenza,NNP,1
37,covid,ever notic announc yesterday decemb th great vaccin protect covid effect took le year develop yet still cure cancer year,NN,1
38,covid,first shot florida teen start covid vaccin trial journey,NN,1
39,covid,gener offer alway tune profsuperjunior help queri concern etc peopl may covid vaccin right contact access right inform know find alreadi post v use inform ty gabriel,VB,1
40,covid,get covid vaccin sinc beij begin inocul seriou side effect observ among vaccin receiv spokesperson municip health commiss told press brief covid,NN,1
41,covid,get covid vaccin sinc beij begin inocul seriou side effect observ among vaccin receiv spokesperson municip health commiss told press brief covid,NNP,1
42,covid,get vaccin danger unless sever allergi dont dingu wear mask get vaccin asap high percentag frontlin worker refus take covid vaccin mani cite polit reason via googlenew,NN,1
43,covid,heathdonsmcgreg mfwitch itatm good skeptic point claim two vaccin hold fda approv good enough chanc possibl side effect show road v chanc covid right balanc ymmv,NN,1
44,covid,hello amalia valid point sudden switch prioritis inocul vaccin data stop asymptomat spread viru extent prevent peopl develop sever covid hq biontech mainz germani diana,NN,1
45,covid,highrisk pregnant breastfeed woman get covid vaccin oma cp toronto break news publish canada news medium news,NN,1
46,covid,holi grail vaccin research could blood test show covid vaccin work search,NN,1
47,covid,hour post nd covid vaccin bodi ach headach lowgrad temp shiver would take vaccin heartbeat realli glad vaccin covid moderna,NN,1
