Word,POS tag,Tag type
johensley,NNP,PROPN
darcyshepherd,NNP,PROPN
jeffreyguterman,NNP,PROPN
realdonaldtrump,NN,NOUN
differ,VBP,VERB
vaccin,NNS,NOUN
differ,VBP,VERB
ingredi,NNP,PROPN
take,VB,VERB
covid,JJ,ADJ
second,JJ,ADJ
efficaci,NNP,PROPN
fine,NN,NOUN
also,RB,ADV
thevaccin,NNP,PROPN
made,VBD,VERB
recombin,NNP,PROPN
dna,NNP,PROPN
made,VBD,VERB
mrna,NNP,PROPN
realli,NNP,PROPN
hate,NNP,PROPN
peopl,NNP,PROPN
spread,VBD,VERB
misinform,NN,NOUN
luciferas,NNS,NOUN
enzym,VBD,VERB
vaccin,NN,NOUN
may,MD,AUX
remind,VB,VERB
vaccin,NN,NOUN
caught,VBN,VERB
covid,JJ,ADJ
also,RB,ADV
prevent,VB,VERB
mjackermanmdphd,NNP,PROPN
hi,NNP,PROPN
dr,NNP,PROPN
ackerman,NNP,PROPN
like,UH,INTJ
know,UH,INTJ
go,VB,VERB
discu,NNP,PROPN
safe,JJ,ADJ
covid,NN,NOUN
vaccin,VBD,VERB
lqt,JJ,ADJ
patient,NN,NOUN
shandro,NNP,PROPN
hinshaw,NNP,PROPN
give,VBP,VERB
covid,JJ,ADJ
vaccin,NNP,PROPN
updat,NNP,PROPN
noon,NN,NOUN
ever,RB,ADV
notic,JJ,ADJ
announc,JJ,ADJ
yesterday,NN,NOUN
decemb,NN,NOUN
th,XX,X
great,JJ,ADJ
vaccin,NN,NOUN
protect,VB,VERB
covid,JJ,ADJ
effect,NN,NOUN
took,VBD,VERB
le,FW,X
year,NN,NOUN
develop,VB,VERB
yet,RB,ADV
still,RB,ADV
cure,VB,VERB
cancer,NN,NOUN
year,NN,NOUN
covidlong,NNP,PROPN
longcovid,NNP,PROPN
anaphylaxi,NNP,PROPN
troublesom,NNP,PROPN
year,NN,NOUN
problem,NN,NOUN
ade,NNP,PROPN
cv,NNP,PROPN
vaccin,NNP,PROPN
covid,NNP,PROPN
vaccin,VB,VERB
design,NN,NOUN
elicit,JJ,ADJ
neutral,JJ,ADJ
antibodi,NNP,PROPN
may,MD,AUX
sensit,VB,VERB
vaccin,NNP,PROPN
recipi,NN,NOUN
sever,NN,NOUN
diseas,NNS,NOUN
vaccin,VBZ,VERB
b,DT,PRON
poll,NN,NOUN
plan,NN,NOUN
receiv,NN,NOUN
type,NNP,PROPN
covid,NN,NOUN
vaccin,NNP,PROPN
covidvaccin,NNP,PROPN
covid,NNP,PROPN
vaccin,NNP,PROPN
safeti,NNP,PROPN
efficaci,NNP,PROPN
import,NNP,PROPN
brand,NN,NOUN
adoctor,NN,NOUN
hour,NN,NOUN
post,NN,NOUN
nd,NN,NOUN
covid,NNP,PROPN
vaccin,NNP,PROPN
bodi,NNP,PROPN
ach,NNP,PROPN
headach,NNP,PROPN
lowgrad,NNP,PROPN
temp,NNP,PROPN
shiver,NNP,PROPN
would,MD,AUX
take,VB,VERB
vaccin,VB,VERB
heartbeat,NNP,PROPN
realli,NNP,PROPN
glad,JJ,ADJ
vaccin,VBD,VERB
covid,JJ,ADJ
moderna,NN,NOUN
updat,NNP,PROPN
govern,VBP,VERB
tuesday,NNP,PROPN
state,NN,NOUN
covid,NNP,PROPN
vaccin,NN,NOUN
also,RB,ADV
work,VB,VERB
new,JJ,ADJ
variant,JJ,ADJ
viru,NN,NOUN
proof,NN,NOUN
current,JJ,ADJ
vaccin,NNP,PROPN
fail,VB,VERB
guard,NN,NOUN
sarscov,NNP,PROPN
mutant,NNP,PROPN
claim,NNP,PROPN
uk,NNP,PROPN
south,NNP,PROPN
africa,NNP,PROPN
ano,NNP,PROPN
covid,NNP,PROPN
relat,NNP,PROPN
death,NN,NOUN
covid,NN,NOUN
case,NN,NOUN
requir,NNS,NOUN
medic,NN,NOUN
intervent,NN,NOUN
occur,VBP,VERB
day,NN,NOUN
